# Directed graph: examplegraph/forest_fire_network.txt 
# Save as tab-separated list of edges
# Nodes: 1000 Edges: 4202
# FromNodeId	ToNodeId
1	0
2	0
2	1
3	1
3	2
4	0
5	2
5	3
6	0
6	1
6	2
6	5
7	1
7	2
7	3
7	5
8	0
8	1
8	2
8	4
8	7
9	7
9	8
10	0
10	4
11	7
11	9
12	0
13	2
13	8
13	9
14	1
14	2
15	9
15	11
16	14
17	0
17	1
17	2
17	3
17	4
17	5
17	6
17	7
17	8
17	9
17	10
17	11
17	14
17	15
18	5
18	6
19	13
20	12
21	13
22	11
22	15
22	17
23	10
24	0
24	1
24	2
24	3
24	5
24	6
24	7
24	13
24	18
24	21
25	10
26	12
27	8
28	25
29	5
29	6
29	18
29	24
30	10
30	25
30	28
31	5
31	6
31	7
31	8
31	9
31	11
31	13
31	15
31	17
31	21
31	22
31	24
31	29
32	11
32	31
33	3
34	0
34	12
34	26
35	0
35	1
35	2
35	3
35	4
35	7
35	8
35	9
35	10
35	17
35	27
35	29
35	31
36	13
37	35
38	8
38	17
38	31
39	22
39	31
39	35
40	20
41	13
41	19
41	21
41	24
41	31
41	36
42	9
42	11
42	15
42	17
42	22
42	31
42	32
43	5
44	0
44	1
44	2
44	14
45	28
46	8
46	9
46	15
46	17
46	31
47	22
48	42
49	38
50	39
51	19
52	36
53	5
53	18
53	24
54	4
54	35
54	37
55	0
55	12
55	26
55	34
56	35
57	23
58	31
59	0
59	1
59	5
59	17
60	23
61	23
61	60
62	12
63	0
63	2
63	7
63	8
63	9
63	13
63	22
63	31
63	35
63	36
63	39
63	41
63	42
63	47
63	48
63	56
64	19
64	51
65	16
66	45
67	65
68	13
68	19
68	41
68	51
69	33
70	54
71	16
72	1
72	2
72	5
72	6
72	7
72	13
72	17
72	24
72	29
72	31
72	35
72	36
72	41
72	63
72	68
73	13
74	9
74	11
74	15
75	68
76	53
77	27
77	35
77	56
78	57
79	8
79	9
79	13
79	18
79	19
79	21
79	24
79	51
79	53
79	63
79	72
79	76
80	5
81	6
82	8
83	43
84	60
85	64
86	30
87	10
87	25
87	28
87	30
87	45
87	66
88	6
88	63
88	72
88	79
89	75
90	65
90	67
91	81
92	50
93	68
93	75
94	6
94	31
