# Directed graph: forest_fire_network.txt 
# Save as tab-separated list of edges
# Nodes: 1000 Edges: 5770
# FromNodeId	ToNodeId
1	0
2	1
3	1
4	0
4	1
4	2
5	0
6	0
7	6
8	0
9	0
9	5
10	0
10	8
11	10
12	2
13	0
13	1
13	2
13	3
13	4
13	8
13	10
13	12
14	10
14	11
15	0
15	1
15	2
15	4
15	6
15	7
15	8
15	10
15	11
15	13
15	14
16	9
17	5
18	6
18	7
19	0
19	6
19	7
19	8
19	10
19	15
19	18
20	0
20	1
20	2
20	4
20	6
20	7
20	15
20	18
20	19
21	12
22	7
22	15
22	18
22	19
22	20
23	6
23	7
23	15
23	18
24	0
24	1
24	2
24	4
24	6
24	8
24	10
24	13
24	14
24	15
24	20
25	0
25	1
25	2
25	4
25	6
25	8
25	10
25	11
25	13
25	14
25	15
25	19
25	20
25	22
25	24
26	0
26	1
26	18
26	19
26	20
27	6
27	7
28	3
29	0
29	1
29	2
29	6
29	7
29	8
29	10
29	13
29	15
29	18
29	19
29	20
29	24
29	25
30	1
30	4
31	11
32	24
33	10
34	24
35	19
36	29
37	0
37	1
37	2
37	4
37	6
37	8
37	10
37	11
37	13
37	14
37	15
37	18
37	19
37	20
37	24
37	25
37	26
37	27
37	29
37	31
37	34
37	35
37	36
38	6
38	27
39	5
39	9
39	16
39	17
40	21
41	13
42	0
42	1
42	4
42	5
42	9
42	17
43	32
44	0
44	1
44	2
44	4
44	5
44	7
44	9
44	15
44	17
44	20
44	26
44	42
45	0
45	1
45	2
45	3
45	8
45	13
45	24
45	25
45	28
46	2
46	12
46	13
46	21
46	40
46	41
47	29
47	37
48	46
49	8
49	37
50	6
51	28
52	51
53	20
54	28
54	45
54	51
55	3
55	28
56	51
57	18
58	9
58	42
59	52
60	51
60	52
60	59
61	32
61	43
62	51
62	59
62	60
63	7
64	30
65	11
66	28
66	45
66	51
66	52
66	54
66	59
66	60
67	1
67	2
67	4
68	6
68	38
69	24
70	30
70	64
71	0
71	5
72	2
73	47
74	42
75	25
76	40
77	47
77	73
78	40
79	51
79	62
80	51
80	52
80	54
80	56
80	59
80	66
81	14
82	10
82	14
82	15
82	19
82	25
82	75
83	0
83	1
83	2
83	3
83	4
83	12
83	13
83	15
83	21
83	28
83	30
83	40
83	46
83	55
84	43
84	61
85	81
86	48
87	79
88	41
88	46
89	46
90	11
90	29
90	37
90	47
90	49
90	73
90	77
91	86
92	70
93	2
93	8
93	10
93	11
93	25
93	37
93	47
93	49
93	77
93	90
94	73
95	40
96	18
97	68
98	92
99	51
99	52
99	54
99	56
99	59
99	60
99	62
99	66
99	79
99	80
99	87
100	0
101	51
101	52
101	54
101	59
101	60
101	62
101	66
101	80
101	99
102	21
103	25
104	36
105	10
106	17
107	41
107	46
108	32
108	43
108	61
108	84
109	41
110	81
111	74
112	13
112	83
113	49
114	33
115	82
116	0
116	5
116	7
116	18
116	20
116	44
117	10
118	23
119	28
120	28
120	45
120	55
121	6
121	29
121	37
121	50
121	90
122	118
123	76
124	24
124	25
124	34
124	37
124	47
124	69
124	73
124	90
124	93
124	121
125	32
125	43
125	61
125	84
126	94
127	0
127	5
127	17
127	39
127	106
128	0
128	1
128	2
128	4
128	6
128	8
128	9
128	10
128	18
128	19
128	20
128	23
128	25
128	26
128	44
128	96
128	116
128	118
129	1
129	2
129	3
